,Total edges,Average degree weight=count,Average degree weight=duration(seconds),Average clustering coefficient unweighted,Average clustering coefficient weight=count,Average clustering coefficient weight=duration(seconds),Average betweenness centrality unweighted,Average betweenness centrality weight=count,Average betweenness centrality weight=duration(seconds),Average closseness centrality unweighted,Average closseness centrality weight=count,Average closseness centrality weight=duration(seconds),Newman modularity unweighted,Newman_modularity weight=count,Newman_modularity weight=dration(seconds)
CsCh-2024-07-09--18-11-56,66.0,696.8333333333334,14901.666666666666,1.0,0.41709900595184757,0.4282117481003917,0.0,0.05227272727272727,0.07121212121212121,1.0,0.02011473281648988,0.001085910704816247,0.0,0.0,0.0
CsCh-2024-07-09--18-12-02,66.0,811.5,17080.333333333332,1.0,0.45770266651203323,0.3584438271194539,0.0,0.03484848484848485,0.04242424242424242,1.0,0.01704396307353387,0.0008457775416569666,0.0,0.0,0.0
CsCh-2024-07-09--18-12-09,66.0,851.1666666666666,16494.166666666668,1.0,0.4498003329226979,0.39158837934208024,0.0,0.03939393939393939,0.07121212121212121,1.0,0.015474782491848325,0.0009953293681518288,0.0,0.0,0.0
CsCh-2024-07-09--18-12-16,66.0,767.3333333333334,15062.666666666666,1.0,0.4065257154365325,0.38161578148764425,0.0,0.05454545454545456,0.06060606060606061,1.0,0.018963323280571355,0.0010815651650486415,0.0,0.0,0.0
CsCh-2024-07-09--18-12-22,66.0,777.3333333333334,15280.5,1.0,0.4082803337796827,0.40000668796244226,0.0,0.04848484848484849,0.0409090909090909,1.0,0.01793665828748828,0.0009130899125275712,0.0,0.0,0.0
CsCh-2024-07-09--18-12-28,66.0,779.3333333333334,15816.333333333334,1.0,0.3616011391210459,0.4112408371034479,0.0,0.07954545454545454,0.09545454545454546,1.0,0.022765059527782645,0.0011965378935569254,0.0,0.0,0.0
CsCh-2024-07-09--18-12-34,66.0,768.6666666666666,15025.5,1.0,0.3167593722572422,0.32414361856207935,0.0,0.05454545454545454,0.07272727272727274,1.0,0.02069727266538406,0.0011785423707862581,0.0,0.0,0.0
CsCh-2024-07-09--18-12-42,66.0,815.8333333333334,16451.0,1.0,0.27877448982867137,0.27963385549006486,0.0,0.05606060606060606,0.07651515151515152,1.0,0.01831059097311578,0.0010589710666288853,0.0,0.0,0.0
CsCh-2024-07-09--18-12-49,66.0,782.1666666666666,16207.333333333334,1.0,0.3923968827077486,0.3598187199400951,0.0,0.040909090909090916,0.043939393939393945,1.0,0.018427265649483136,0.0009283994381635391,0.0,0.0,0.0
CsCh-2024-07-09--18-12-55,66.0,903.3333333333334,18986.833333333332,1.0,0.46606375148736695,0.5115124509016445,0.0,0.041666666666666664,0.05909090909090909,1.0,0.01469109117337396,0.0007531461074896419,0.0,0.0,0.0
CsCh-2024-07-09--18-13-01,66.0,790.3333333333334,16297.666666666666,1.0,0.3508968789493985,0.3365032198414926,0.0,0.0696969696969697,0.07272727272727271,1.0,0.019939072691130138,0.0009830345758446684,0.0,0.0,0.0
CsCh-2024-07-09--18-13-08,66.0,807.1666666666666,16447.166666666668,1.0,0.36827648708200433,0.32201963577700693,0.0,0.06439393939393938,0.0909090909090909,1.0,0.019096593592220913,0.0010915419433669676,0.0,0.0,0.0
CsCh-2024-07-09--18-13-15,66.0,952.6666666666666,19596.333333333332,1.0,0.3893117976652362,0.333909842648829,0.0,0.08333333333333333,0.07727272727272727,1.0,0.016181925000352183,0.0008052542283895299,0.0,0.0,0.0
CsCh-2024-07-09--18-13-21,66.0,723.6666666666666,14592.5,1.0,0.4502107596956615,0.42719889597944444,0.0,0.03636363636363636,0.040909090909090916,1.0,0.01844710851141783,0.0009714921218036623,0.0,0.0,0.0
CsCh-2024-07-09--18-13-28,66.0,793.0,15766.166666666666,1.0,0.44046106582391503,0.41108699317497227,0.0,0.0393939393939394,0.03636363636363637,1.0,0.016736165546068375,0.0008496584719634065,0.0,0.0,0.0
CsCh-2024-07-09--18-13-34,66.0,881.6666666666666,18052.5,1.0,0.4528253897715014,0.3917582931163453,0.0,0.04393939393939394,0.05757575757575758,1.0,0.016418736921431306,0.0008939090020537802,0.0,0.0,0.0
CsCh-2024-07-09--18-13-41,66.0,805.8333333333334,16241.0,1.0,0.48896283644362154,0.4821732189332602,0.0,0.05303030303030304,0.07727272727272727,1.0,0.01786813835429644,0.0009278887620755416,0.0,0.0,0.0
CsCh-2024-07-09--18-13-47,66.0,856.5,17869.166666666668,1.0,0.3627538792337512,0.34693645185730565,0.0,0.049999999999999996,0.0696969696969697,1.0,0.017236116622889156,0.0008914275883041041,0.0,0.0,0.0
CsCh-2024-07-09--18-13-54,66.0,787.6666666666666,16444.5,1.0,0.35538642726787556,0.3476826403175303,0.0,0.06060606060606061,0.06363636363636364,1.0,0.020412892326587193,0.0010718673914061724,0.0,0.0,0.0
CsCh-2024-07-09--18-14-00,66.0,733.5,15540.666666666666,1.0,0.43973272612897923,0.3749986409265981,0.0,0.06666666666666667,0.07878787878787878,1.0,0.02108402376893977,0.0010564945196818191,0.0,0.0,0.0
CsCh-2024-07-09--18-14-07,66.0,846.6666666666666,17528.166666666668,1.0,0.4038502168663906,0.3461731545245361,0.0,0.03939393939393939,0.05757575757575758,1.0,0.015904171907318704,0.0008151964485126891,0.0,0.0,0.0
CsCh-2024-07-09--18-14-13,66.0,877.0,17089.0,1.0,0.466961031305807,0.43791293935218617,0.0,0.030303030303030304,0.048484848484848485,1.0,0.014216038144262635,0.0008091026568370696,0.0,0.0,0.0
CsCh-2024-07-09--18-14-20,66.0,759.8333333333334,15214.666666666666,1.0,0.4324685993728601,0.38464053362998624,0.0,0.05075757575757576,0.06515151515151515,1.0,0.018532445884377764,0.0010957875324585974,0.0,0.0,0.0
CsCh-2024-07-09--18-14-26,66.0,783.0,16264.333333333334,1.0,0.39153651602939427,0.4165280921333349,0.0,0.053787878787878794,0.06212121212121211,1.0,0.01815922395410384,0.0010023649657358686,0.0,0.0,0.0
