node_1,node_2,start_of_interaction,end_of_interaction,duration
11989,11999,24014,24041,27
11989,11999,24044,24052,8
11989,11999,25128,25133,5
11989,11999,25226,25227,1
11989,11999,25501,25515,14
11989,11999,25635,25638,3
11989,11999,25644,25667,23
11989,11999,26002,26016,14
11989,11999,27529,27531,2
11989,11999,27615,27632,17
11989,11999,28117,28122,5
11989,11999,28153,28169,16
11989,12000,460,481,21
11989,12000,534,561,27
11989,12000,917,920,3
11989,12000,965,993,28
11989,12000,1925,1944,19
11989,12000,3261,3262,1
11989,12000,3269,3278,9
11989,12000,3347,3395,48
11989,12000,3954,3956,2
11989,12000,3960,3961,1
11989,12000,3978,4004,26
11989,12000,4006,4019,13
11989,12000,4054,4055,1
11989,12000,4448,4477,29
11989,12000,5084,5106,22
11989,12000,7140,7141,1
11989,12000,7316,7319,3
11989,12000,8504,8512,8
11989,12000,8514,8558,44
11989,12000,8651,8670,19
11989,12000,9661,9683,22
11989,12000,11198,11208,10
11989,12000,11226,11240,14
11989,12000,11257,11261,4
11989,12000,11263,11277,14
11989,12000,11475,11498,23
11989,12000,11506,11510,4
11989,12000,11573,11597,24
11989,12000,11830,11833,3
11989,12000,11874,11887,13
11989,12000,11952,11967,15
11989,12000,11992,11998,6
11989,12000,12000,12028,28
11989,12000,12042,12057,15
11989,12000,12159,12188,29
11989,12000,12248,12297,49
11989,12000,12600,12609,9
11989,12000,14295,14321,26
11989,12000,16762,16768,6
11989,12000,18963,18979,16
11989,12000,20654,20665,11
11989,12000,21853,21859,6
11989,12000,21881,21895,14
11989,12000,23720,23730,10
11989,12000,24261,24269,8
11989,12000,24453,24459,6
11989,12000,24466,24471,5
11989,12000,25057,25083,26
11989,12000,25096,25106,10
11989,12000,28444,28450,6
11989,12000,28467,28469,2
11990,11991,800,823,23
11990,11991,1953,1993,40
11990,11991,2200,2217,17
11990,11991,2230,2234,4
11990,11991,2490,2493,3
11990,11991,2508,2537,29
11990,11991,2619,2645,26
11990,11991,2750,2763,13
11990,11991,3300,3305,5
11990,11991,3405,3425,20
11990,11991,3537,3546,9
11990,11991,4080,4095,15
11990,11991,4155,4156,1
11990,11991,4903,4917,14
11990,11991,5586,5590,4
11990,11991,5706,5722,16
11990,11991,7391,7404,13
11990,11991,7418,7424,6
11990,11991,7456,7470,14
11990,11991,7657,7662,5
11990,11991,7666,7667,1
11990,11991,7676,7703,27
11990,11991,7829,7836,7
11990,11991,8016,8021,5
11990,11991,8144,8145,1
11990,11991,8196,8228,32
11990,11991,8262,8283,21
11990,11991,8820,8846,26
11990,11991,8850,8852,2
11990,11991,8874,8888,14
11990,11991,8890,8908,18
11990,11991,9139,9141,2
11990,11991,9145,9176,31
11990,11991,9542,9557,15
11990,11991,10550,10557,7
11990,11991,10580,10595,15
11990,11991,10853,10882,29
11990,11991,10930,10949,19
11990,11991,12111,12175,64
11990,11991,12178,12183,5
11990,11991,12949,12959,10
11990,11991,14592,14604,12
11990,11991,14725,14727,2
11990,11991,15048,15062,14
11990,11991,16553,16558,5
11990,11991,17151,17162,11
11990,11991,17184,17205,21
11990,11991,17247,17250,3
11990,11991,17385,17413,28
11990,11991,17571,17586,15
11990,11991,17589,17654,65
11990,11991,18996,19006,10
11990,11991,19012,19015,3
11990,11991,19018,19040,22
11990,11991,19306,19309,3
11990,11991,19403,19415,12
11990,11991,19682,19687,5
11990,11991,19701,19716,15
11990,11991,20438,20441,3
11990,11991,20833,20854,21
11990,11991,20899,20917,18
11990,11991,21658,21659,1
11990,11991,24088,24106,18
11990,11991,24237,24240,3
11990,11991,24290,24309,19
11990,11991,25326,25328,2
11990,11991,25352,25381,29
11990,11991,25453,25454,1
11990,11991,25457,25476,19
11990,11991,25499,25502,3
11990,11991,25896,25902,6
11990,11991,25909,25923,14
11990,11991,27495,27516,21
11990,11992,487,491,4
11990,11992,546,565,19
11990,11992,577,590,13
11990,11992,1440,1470,30
11990,11992,1727,1741,14
11990,11992,3466,3481,15
11990,11992,3497,3501,4
11990,11992,3628,3647,19
11990,11992,3702,3706,4
11990,11992,4876,4888,12
11990,11992,5241,5255,14
11990,11992,6686,6728,42
11990,11992,8164,8202,38
11990,11992,8220,8221,1
11990,11992,8422,8444,22
11990,11992,8913,8972,59
11990,11992,9105,9156,51
11990,11992,9780,9782,2
11990,11992,10233,10234,1
11990,11992,10531,10537,6
11990,11992,10859,10876,17
11990,11992,12060,12077,17
11990,11992,12110,12130,20
11990,11992,12132,12157,25
11990,11992,12881,12882,1
11990,11992,12884,12911,27
11990,11992,12980,13025,45
11990,11992,13041,13055,14
11990,11992,13083,13130,47
11990,11992,13344,13356,12
11990,11992,13361,13365,4
11990,11992,13382,13402,20
11990,11992,13691,13695,4
11990,11992,13893,13921,28
11990,11992,14073,14103,30
11990,11992,15499,15535,36
11990,11992,15685,15720,35
11990,11992,16739,16753,14
11990,11992,17781,17792,11
11990,11992,17940,17959,19
11990,11992,19310,19311,1
11990,11992,19313,19317,4
11990,11992,19377,19384,7
11990,11992,19426,19435,9
11990,11992,20373,20386,13
11990,11992,20454,20476,22
11990,11992,20479,20521,42
11990,11992,21508,21545,37
11990,11992,21553,21624,71
11990,11992,21692,21714,22
11990,11992,21969,21990,21
11990,11992,24792,24827,35
11990,11992,24829,24832,3
11990,11992,24862,24901,39
11990,11992,24908,24927,19
11990,11992,26006,26026,20
11990,11992,26066,26067,1
11990,11992,26177,26195,18
11990,11992,26307,26328,21
11990,11992,26365,26370,5
11990,11992,26403,26416,13
